StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q15,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9,Q10,Q10_7_TEXT,Q11,Q12,Q13,Q16
2026-04-15 17:01:32,2026-04-15 17:04:32,IP Address,100,180,True,2026-04-15 17:04:33,R_1oAOC95pOmuyJaN,anonymous,EN,Yes,3 / 3rd year,"Art, Music, Dance, Theater",No,"I voted at a another polling location,I voted during Early Voting",No,No,No,Less than once a month,Once a month,Basically every day,Once a month,A few times a month,On-campus,,,,,Yes,Once a month
2026-04-15 17:20:32,2026-04-15 17:22:04,IP Address,100,92,True,2026-04-15 17:22:05,R_5m2lTvkxHIXiXKe,social,EN,Yes,2 / 2nd year,Engineering,No,"I chose not to vote,The line was too long",No,No,No,Less than once a month,Less than once a month,A few times a month,Once a month,Once a month,On-campus,,,,,No,
2026-04-15 17:23:36,2026-04-15 17:24:33,IP Address,100,57,True,2026-04-15 17:24:34,R_3mFa5wA1sV3wSMU,anonymous,EN,Yes,3 / 3rd year,"Art, Music, Dance, Theater",No,"I voted at a another polling location,I voted during Early Voting",No,No,No,Less than once a month,A few times a week,Basically every day,Once a month,Less than once a month,On-campus,,,,,No,
2026-04-15 17:23:45,2026-04-15 17:27:11,IP Address,100,205,True,2026-04-15 17:27:11,R_3nSHwmm3ijAyALz,anonymous,EN,Yes,2 / 2nd year,Buisness,No,"I voted at a another polling location,I voted during Early Voting",No,No,No,Not at all,Once,Basically every day,Less than once a month,Not at all,Off-Campus,Personal Car,,40,,,
2026-04-15 17:31:19,2026-04-15 17:32:39,IP Address,100,79,True,2026-04-15 17:32:39,R_5i4lGq5GuYZQMuk,anonymous,EN,Yes,4+ / 4th year and beyond,Liberal Arts and Social Sciences,No,I voted at a another polling location,Yes,Yes,Yes,A few times a month,Basically every day,Basically every day,Less than once a month,A few times a month,Off-Campus,Personal Car,,90,,,
2026-04-15 17:34:50,2026-04-15 17:35:47,IP Address,100,57,True,2026-04-15 17:35:48,R_1cdUrmGiGbFVxvg,anonymous,EN,Yes,1 / 1st year,Liberal Arts and Social Sciences,No,I voted at a another polling location,No,Yes,No,A few times a month,A few times a month,A few times a week,Once a month,Once,On-campus,,,,,No,
2026-04-15 17:47:41,2026-04-15 17:49:19,IP Address,100,98,True,2026-04-15 17:49:20,R_5zuWkkqJ2a7wTDj,anonymous,EN,Yes,1 / 1st year,Engineering,Yes,,Yes,No,No,Not at all,Not at all,A few times a week,Not at all,A few times a week,Off-Campus,Personal Car,,3,,,
2026-04-15 17:51:59,2026-04-15 17:52:55,IP Address,100,56,True,2026-04-15 17:52:56,R_6wGJYD88BdQeiab,anonymous,EN,Yes,2 / 2nd year,Liberal Arts and Social Sciences,No,I could not get transportation to the polling place,No,No,No,Not at all,A few times a month,Once a month,Once,Less than once a month,On-campus,,,,,No,
2026-04-15 18:01:12,2026-04-15 18:02:38,IP Address,100,85,True,2026-04-15 18:02:38,R_6itj7OooWpmIbaT,anonymous,EN,Yes,2 / 2nd year,Engineering,No,I chose not to vote,No,No,No,Not at all,Not at all,Once,Not at all,Not at all,Off-Campus,Personal Car,,120,,,
2026-04-15 18:00:38,2026-04-15 18:03:31,IP Address,100,173,True,2026-04-15 18:03:32,R_3K2otILnCTpi6rz,anonymous,EN,Yes,4+ / 4th year and beyond,Liberal Arts and Social Sciences,No,I voted at a another polling location,No,No,No,Not at all,Less than once a month,Once,Less than once a month,A few times a month,Off-Campus,METRO Bus,,180,1,,
2026-04-15 18:02:43,2026-04-15 18:04:48,IP Address,100,124,True,2026-04-15 18:04:48,R_7oYLzEbPa75EmQw,anonymous,EN,Yes,4+ / 4th year and beyond,Public Policy,Yes,,Yes,Yes,No,A few times a month,Basically every day,Basically every day,Once a month,A few times a month,Off-Campus,Personal Car,,60,,,
2026-04-15 18:08:47,2026-04-15 18:10:00,IP Address,100,73,True,2026-04-15 18:10:01,R_71hL8Ba9kaOFhxU,anonymous,EN,Yes,3 / 3rd year,Buisness,Yes,,No,No,No,A few times a month,A few times a week,A few times a week,A few times a week,Once a month,Off-Campus,METRO Bus,,240,3,,
2026-04-15 18:33:57,2026-04-15 18:35:08,IP Address,100,71,True,2026-04-15 18:35:09,R_6Do6NYxD1U2pl3q,anonymous,EN,No,4+ / 4th year and beyond,Public Policy,Yes,,Yes,No,Yes,A few times a week,A few times a week,A few times a week,Less than once a month,Less than once a month,Off-Campus,Personal Car,,20,,,
2026-04-15 19:21:42,2026-04-15 19:23:06,IP Address,100,83,True,2026-04-15 19:23:07,R_57x7XQAVZrEm7kZ,anonymous,EN,Yes,1 / 1st year,Engineering,No,"I did not know the election was taking place,I did not commute to campus that day",No,No,No,Not at all,Not at all,A few times a week,Less than once a month,Not at all,Off-Campus,Walking,,50,,,
2026-04-15 20:24:54,2026-04-15 20:26:39,IP Address,100,104,True,2026-04-15 20:26:39,R_67zUnxHzzf7zDSF,anonymous,EN,Yes,2 / 2nd year,Public Policy,No,I did not know the election was taking place,No,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Off-Campus,METRO Bus,,5,5,,
2026-04-15 20:43:35,2026-04-15 20:45:44,IP Address,100,129,True,2026-04-15 20:45:45,R_6wUphoFNPC6UblL,anonymous,EN,Yes,3 / 3rd year,Natural Sciences and Mathematics,No,The line was too long,No,No,Yes,Not at all,Less than once a month,Basically every day,Not at all,Once a month,Off-Campus,Personal Car,,45,,,
2026-04-15 20:45:06,2026-04-15 20:48:01,IP Address,100,175,True,2026-04-15 20:48:02,R_73zLqK3TDcsBjRn,anonymous,EN,Yes,1 / 1st year,Buisness,,,No,No,No,Once,Once,A few times a week,A few times a month,Once,On-campus,,,,,Yes,Not at all
2026-04-15 21:42:51,2026-04-15 21:44:14,IP Address,100,82,True,2026-04-15 21:44:14,R_6rIEocg7Em1R2pz,anonymous,EN,Yes,1 / 1st year,"Art, Music, Dance, Theater",No,I did not know the election was taking place,No,No,No,Not at all,Not at all,A few times a week,Not at all,Not at all,Off-Campus,Bicycle,,40,,,
2026-04-15 21:42:42,2026-04-15 21:45:22,IP Address,100,159,True,2026-04-15 21:45:22,R_52cLUSIoQogGzOV,anonymous,EN,Yes,3 / 3rd year,Public Policy,Yes,,Yes,Yes,Yes,Basically every day,Basically every day,Basically every day,A few times a month,Basically every day,Off-Campus,Personal Car,,40,,,
2026-04-16 01:50:52,2026-04-16 01:52:20,IP Address,100,88,True,2026-04-16 01:52:20,R_36f4Ds8kW5rjJH0,anonymous,EN,Yes,3 / 3rd year,Liberal Arts and Social Sciences,Yes,,No,No,No,Basically every day,A few times a week,Basically every day,A few times a week,Not at all,Off-Campus,Carpool,,25,,,
2026-04-16 08:29:02,2026-04-16 08:30:20,IP Address,100,78,True,2026-04-16 08:30:21,R_124KvGPhla8W6kE,anonymous,EN,Yes,2 / 2nd year,Engineering,Yes,,No,No,No,A few times a month,A few times a week,Basically every day,A few times a month,A few times a month,Off-Campus,METRO Rail,,4,3,,
2026-04-16 08:54:33,2026-04-16 08:55:54,IP Address,100,80,True,2026-04-16 08:55:55,R_1dpJ8nA62tC7xJv,anonymous,EN,No,3 / 3rd year,Natural Sciences and Mathematics,Yes,,Yes,No,No,Not at all,A few times a week,Basically every day,A few times a month,A few times a month,Off-Campus,Personal Car,,,,,
2026-04-16 09:53:03,2026-04-16 09:55:17,IP Address,100,133,True,2026-04-16 09:55:18,R_3dSDv6aShLRkJ2p,anonymous,EN,Yes,2 / 2nd year,Engineering,No,I voted at a another polling location,No,No,No,Once,Not at all,Basically every day,A few times a week,Not at all,On-campus,,,,,No,
2026-04-16 10:01:39,2026-04-16 10:03:32,IP Address,100,112,True,2026-04-16 10:03:32,R_60NiPKEDSiWOt1g,anonymous,EN,Yes,4+ / 4th year and beyond,Natural Sciences and Mathematics,Yes,,No,No,No,Not at all,Once a month,A few times a week,A few times a month,Not at all,Off-Campus,Personal Car,,70,,,
2026-04-16 10:43:37,2026-04-16 10:44:32,IP Address,100,54,True,2026-04-16 10:44:32,R_7xE0pnZHhXuSRQ2,anonymous,EN,Yes,1 / 1st year,Nursing,Yes,,No,No,No,A few times a month,A few times a month,Basically every day,A few times a month,A few times a week,On-campus,,,,,No,
2026-04-16 10:43:25,2026-04-16 10:45:34,IP Address,100,128,True,2026-04-16 10:45:34,R_6FIJLbf2pqjRP6l,anonymous,EN,Yes,1 / 1st year,Engineering,Yes,,No,No,No,A few times a month,Not at all,Basically every day,A few times a month,A few times a month,Off-Campus,Personal Car,,45,,,
2026-04-16 10:46:15,2026-04-16 10:46:29,IP Address,100,13,True,2026-04-16 10:46:29,R_172o6wUpb4jCG9C,anonymous,EN,,,,,,,,,,,,,,,,,,,,
2026-04-16 10:43:59,2026-04-16 10:47:17,IP Address,100,197,True,2026-04-16 10:47:17,R_7iU5UT0Cwkdv04W,anonymous,EN,Yes,1 / 1st year,Liberal Arts and Social Sciences,Yes,,No,No,No,Not at all,A few times a month,Basically every day,Once a month,A few times a month,On-campus,,,,,Yes,Once a month
2026-04-16 10:47:58,2026-04-16 10:48:55,IP Address,100,57,True,2026-04-16 10:48:56,R_5dpnZlHg7vlNc2l,anonymous,EN,Yes,1 / 1st year,Natural Sciences and Mathematics,No,I did not know the election was taking place,No,No,No,Not at all,A few times a month,Basically every day,A few times a week,Once,On-campus,,,,,No,
2026-04-16 10:48:55,2026-04-16 10:50:20,IP Address,100,84,True,2026-04-16 10:50:21,R_3WvzoFFWDF9PVpO,anonymous,EN,Yes,2 / 2nd year,Natural Sciences and Mathematics,No,I voted at a another polling location,No,No,No,Not at all,Once,Basically every day,A few times a week,A few times a month,On-campus,,,,,Yes,Not at all
2026-04-16 11:44:18,2026-04-16 11:46:32,IP Address,100,133,True,2026-04-16 11:46:33,R_3Mf6npt5Xg3dTfb,anonymous,EN,Yes,2 / 2nd year,Engineering,Yes,,No,No,No,Not at all,Once,A few times a month,Less than once a month,Not at all,Off-Campus,Carpool,,45,,,
2026-04-16 14:23:39,2026-04-16 14:25:38,IP Address,100,118,True,2026-04-16 14:25:39,R_61bnDQQaUFeRR2y,anonymous,EN,Yes,4+ / 4th year and beyond,"Art, Music, Dance, Theater",No,I voted at a another polling location,No,No,Yes,Not at all,Basically every day,Basically every day,Less than once a month,Once a month,On-campus,,,,,No,
2026-04-17 11:49:38,2026-04-17 11:53:39,IP Address,100,240,True,2026-04-17 11:53:39,R_6QnKtEntWeFITT5,social,EN,Yes,1 / 1st year,Liberal Arts and Social Sciences,No,I do not feel strongly for politics/ voting,No,No,No,Not at all,Not at all,A few times a month,Once,Not at all,Off-Campus,Personal Car,,50,,,
2026-04-19 15:19:34,2026-04-19 15:20:51,IP Address,100,77,True,2026-04-19 15:20:51,R_3I4UAhSnNAMST0B,anonymous,EN,Yes,2 / 2nd year,Integrated Studies,No,I voted at a another polling location,No,No,Yes,Not at all,A few times a month,A few times a week,A few times a month,A few times a month,Off-Campus,Personal Car,,90,,,
2026-04-19 22:17:56,2026-04-19 22:19:46,IP Address,100,109,True,2026-04-19 22:19:46,R_7CBgSVIQEr7qaKU,anonymous,EN,Yes,3 / 3rd year,"Art, Music, Dance, Theater",No,I did not know the election was taking place,No,No,No,Not at all,Once a month,Basically every day,Less than once a month,A few times a month,On-campus,,,,,Yes,A few times a week
2026-04-20 17:33:43,2026-04-20 17:35:54,IP Address,100,131,True,2026-04-20 17:35:55,R_3ClkGFUVMMdHVH2,anonymous,EN,Yes,3 / 3rd year,Education,No,I voted at a another polling location,No,No,No,Not at all,Not at all,A few times a week,Less than once a month,Once,On-campus,,,,,No,
2026-04-20 22:05:04,2026-04-20 22:07:08,IP Address,100,123,True,2026-04-20 22:07:08,R_7RjoEAXkbeEuWBz,social,EN,Yes,3 / 3rd year,Natural Sciences and Mathematics,No,I voted at a another polling location,No,No,No,Less than once a month,Once a month,A few times a month,A few times a month,Less than once a month,Off-Campus,Personal Car,,30,,,
2026-04-22 14:48:51,2026-04-22 16:39:37,IP Address,100,6645,True,2026-04-22 16:39:37,R_7ixoam1P7kKRqZi,social,EN,,,,,,,,,,,,,,,,,,,,
2026-04-15 16:59:33,2026-04-15 16:59:51,IP Address,17,17,False,2026-04-22 17:01:51,R_14o9Wc8YFK6Lq2S,anonymous,EN,Yes,3 / 3rd year,"Art, Music, Dance, Theater",Yes,,,,,,,,,,,,,,,,
2026-04-15 16:59:31,2026-04-15 16:59:58,IP Address,17,27,False,2026-04-22 17:01:53,R_1WuPrPdxNGugA3e,anonymous,EN,Yes,3 / 3rd year,"Art, Music, Dance, Theater",Yes,,,,,,,,,,,,,,,,
2026-04-15 17:23:09,2026-04-15 17:23:20,IP Address,33,10,False,2026-04-22 17:23:22,R_1F34O1FFCHmO3vx,anonymous,EN,Yes,3 / 3rd year,"Art, Music, Dance, Theater",Yes,,,,,,,,,,,,,,,,
2026-04-15 17:27:40,2026-04-15 17:28:05,IP Address,33,25,False,2026-04-22 17:28:06,R_1SGDbSc4BKno8eg,anonymous,EN,Yes,1 / 1st year,Engineering,No,I did not commute to campus that day,,,,,,,,,,,,,,,
2026-04-17 22:09:40,2026-04-17 22:09:59,IP Address,33,19,False,2026-04-23 08:54:24,R_3QEkDpaNRPUaxXP,anonymous,EN,Yes,2 / 2nd year,Natural Sciences and Mathematics,No,I chose not to vote,,,,,,,,,,,,,,,
